route,dep,arr,dep_country,arr_country,type,year,region,carrier,hub_dest,forecast_pax,captured_uncapped,capacity,feed_beyond,feed_behind,p2p_outturn,fc_over_p2p,outturn_pax,fc_over_out,natural,propensity,propensity_basis,gcd_km
DFW-UIO,DFW,UIO,US,EC,FSC,2016,INTL,AA,False,24692,4449,119808,160,20083,8837,0.503,48548,0.509,4068,0.9511,qsi-share,4155
FLL-BGI,FLL,BGI,US,BB,LCC,2016,INTL,B6,False,19904,15008,218400,677,4219,57160,0.263,71915,0.277,44185,0.2516,qsi-share,2594
CUN-CGN,CUN,CGN,MX,DE,ULCC,2016,INTL,EW,True,20945,20945,127296,0,0,55773,0.376,56301,0.372,30481,0.898,qsi-share,8476
GCM-PHL,GCM,PHL,KY,US,FSC,2016,INTL,AA,True,7499,6883,31200,429,187,6060,1.136,10830,0.692,6039,0.9911,qsi-share,2361
PIT-CUN,PIT,CUN,US,MX,FSC,2016,INTL,AA,True,48974,63633,57616,310,14418,17434,3.65,17685,2.769,124672,0.4438,qsi-share,2250
CKG-CXR,CKG,CXR,CN,VN,FSC,2016,INTL,CA,False,635,43,181480,8,584,37621,0.001,51553,0.012,39,0.9692,qsi-share,1988
HKG-OOL,HKG,OOL,HK,AU,FSC,2016,APAC,HX,False,1697,914,91104,269,514,23308,0.039,39786,0.043,798,1.0,qsi-share,7033
BHY-BKK,BHY,BKK,CN,TH,LCC,2016,INTL,9C,True,31824,22353,37440,162,9370,28465,0.785,28948,1.099,198253,0.0835,qsi-share,1255
SIN-ATQ,SIN,ATQ,SG,IN,FSC,2016,INTL,TZ,False,10526,10108,156000,231,186,88053,0.115,98342,0.107,9340,1.0,qsi-share,4554
CXR-KMG,CXR,KMG,VN,CN,LCC,2016,INTL,8L,True,267,170,76440,76,21,40952,0.004,43306,0.006,168,0.751,qsi-share,1596
DMK-SWA,DMK,SWA,TH,CN,LCC,2016,INTL,FD,False,28045,26563,131040,1011,471,93262,0.285,97417,0.288,79025,0.249,qsi-share,1999
MHH-ATL,MHH,ATL,BS,US,FSC,2016,INTL,DL,True,10653,1879,67600,8748,26,10891,0.173,22001,0.484,27995,0.0584,qsi-share,1059
ANF-LIM,ANF,LIM,CL,PE,FSC,2016,LATAM,LA,True,1764,1448,44928,55,261,12994,0.111,32029,0.055,1888,0.6668,qsi-share,1450
ELH-ATL,ELH,ATL,BS,US,FSC,2016,INTL,DL,True,8624,804,27040,7793,26,5321,0.151,11363,0.759,25719,0.0272,qsi-share,1175
FRA-PTY,FRA,PTY,DE,PA,FSC,2016,INTL,LH,True,12483,3704,312000,1388,7391,14890,0.249,129602,0.096,3947,0.8159,qsi-share,9085
FCO-SCL,FCO,SCL,IT,CL,FSC,2016,INTL,AZ,True,37412,14699,304720,475,22238,20654,0.712,114916,0.326,13715,0.9319,qsi-share,11883
POI-CBB,POI,CBB,BO,BO,FSC,2016,LATAM,OB,False,30940,61212,36400,169,0,21449,2.854,30207,1.024,181663,0.293,qsi-share,240
CGN-POP,CGN,POP,DE,DO,ULCC,2016,INTL,EW,False,17939,17939,128960,0,0,45341,0.396,51597,0.348,45988,0.2167,qsi-share,7461
KIX-MMY,KIX,MMY,JP,JP,FSC,2016,APAC,NH,False,25073,24553,120848,358,163,80966,0.303,82058,0.306,29707,0.7187,qsi-share,1439
HDY-UTP,HDY,UTP,TH,TH,LCC,2016,APAC,FD,False,3088,3086,131040,0,3,102920,0.03,103279,0.03,3761,0.6077,qsi-share,642
KUL-CSX,KUL,CSX,MY,CN,FSC,2016,INTL,CZ,True,22317,16462,184808,5275,580,126112,0.131,156687,0.142,14525,0.9855,qsi-share,3080
DXB-CEB,DXB,CEB,AE,PH,FSC,2016,INTL,EK,False,22606,17602,257712,601,4403,10002,1.76,107927,0.209,16903,0.9055,qsi-share,7376
UTP-MFM,UTP,MFM,TH,MO,LCC,2016,INTL,FD,False,4496,2304,74880,2161,31,56616,0.041,56665,0.079,2162396,0.0008,qsi-share,1696
HDY-CEI,HDY,CEI,TH,TH,LCC,2016,APAC,FD,False,3273,3161,131040,39,73,101786,0.031,101793,0.032,2630,0.8903,qsi-share,1448
