route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
SVO-IJK,SU,2018,3,0.00616,0.02364,3.837,240
SVO-DUB,SU,2018,63,0.00834,0.06614,7.929,360
PFO-BTS,FR,2018,12,0.07598,0.23566,3.102,120
YNT-DYG,MU,2018,8,0.00411,0.05234,12.725,840
CSX-WUT,MF,2018,11,0.191,0.20333,1.065,600
RVT-PER,HK,2018,30,0.92999,0.96487,1.038,720
EGX-PIP,GV,2018,1,1.0,1.0,1.0,
CEC-OAK,LF,2018,44,0.82816,0.84977,1.026,240
FAI-HSL,8V,2018,1,0.0,1.0,,0
JJM-MRE,P2,2018,1,1.0,1.0,1.0,
SMF-BNA,WN,2019,37,0.04183,0.05483,1.311,240
FAT-ORD,UA,2019,144,0.23207,0.32684,1.408,360
DFW-BUF,AA,2019,9,0.00253,0.00805,3.184,480
LHR-PIT,BA,2019,60,0.0934,0.11663,1.249,1320
ELM-IAD,UA,2019,90,0.37003,0.37003,1.0,
AMS-TPA,DL,2019,37,0.00514,0.02761,5.368,1200
VCT-IAH,4B,2019,140,0.57527,0.72294,1.257,600
DEN-FLG,UA,2019,1,0.00397,0.0249,6.276,240
YYC-DUB,WS,2019,128,0.11968,0.24135,2.017,1320
SJC-BJX,Y4,2019,4,0.03496,0.04067,1.163,360
DFW-BUR,AA,2019,9,0.01675,0.03235,1.931,480
ORD-ATH,AA,2019,74,0.23063,0.23352,1.013,0
OGS-IAD,UA,2019,90,0.89615,0.91213,1.018,600
SRQ-LCK,G4,2019,2,0.0,0.76321,,720
SVQ-BUD,FR,2019,40,0.0464,0.04935,1.064,0
LPK-VOZ,7R,2019,5,0.01077,0.12743,11.836,1200
NJC-KUF,UT,2019,17,0.07638,0.31027,4.062,480
PMO-LPL,U2,2019,9,0.01127,0.29852,26.487,720
RMU-STN,FR,2019,50,0.88637,0.97193,1.097,360
WUH-IST,CZ,2019,177,0.32599,0.40755,1.25,1200
CLJ-LYS,W6,2019,47,0.29764,0.34579,1.162,720
DME-CAN,IO,2019,103,0.27665,0.46296,1.673,1200
FCO-SZX,HU,2019,112,0.02109,0.08467,4.014,1080
BOG-MUC,AV,2019,163,0.16715,0.17,1.017,1320
SSH-AYT,KK,2019,92,0.3667,0.4432,1.209,240
HAM-FDH,BA,2019,5,0.00046,0.00268,5.875,840
KZN-RGK,RT,2019,2,0.00311,0.00933,3.002,480
WAW-LCY,LO,2019,17,0.01227,0.03696,3.013,720
FRU-ROV,A4,2019,27,0.03121,0.09357,2.998,120
VKO-CFU,EL,2019,4,0.03446,0.04767,1.383,120
CRL-CRA,W6,2019,1,0.0,0.04115,,120
CPH-CTU,3U,2019,134,0.12477,0.35167,2.819,1200
OVB-AYT,ZF,2019,19,0.38642,0.49088,1.27,360
CFU-SEN,FR,2019,10,0.00765,0.10177,13.295,240
LHR-GCI,BE,2019,5,0.0,0.37205,,840
HHN-LWO,W6,2019,7,0.14597,0.45686,3.13,840
PFO-KBP,FR,2019,29,0.3623,0.3623,1.0,
BJL-MUC,XR,2019,142,0.47532,0.60509,1.273,240
IST-ONQ,TK,2019,1,0.00109,0.00125,1.147,480
